Episodio,Puntaje
1631,[1106.]
1632,[206.]
1633,[1106.]
1634,[1106.]
1635,[1106.]
1636,[534.]
1637,[1106.]
1638,[388.]
1639,[1106.]
1640,[1106.]
1641,[1106.]
1642,[1106.]
1643,[397.]
1644,[152.]
1645,[1106.]
1646,[1106.]
1647,[1106.]
1648,[1106.]
1649,[1106.]
1650,[420.]
1651,[1106.]
1652,[1106.]
1653,[1106.]
1654,[1106.]
1655,[1106.]
1656,[162.]
1657,[1106.]
1658,[1106.]
1659,[127.]
1660,[1106.]
1661,[123.]
1662,[1106.]
1663,[1106.]
1664,[1106.]
1665,[449.]
1666,[329.]
1667,[288.]
1668,[1106.]
1669,[1106.]
1670,[194.]
1671,[1106.]
1672,[109.]
1673,[110.]
1674,[148.]
1675,[1106.]
1676,[1106.]
1677,[280.]
1678,[1106.]
1679,[337.]
1680,[1106.]
1681,[1106.]
1682,[136.]
1683,[429.]
1684,[1106.]
1685,[1106.]
1686,[112.]
1687,[1106.]
1688,[147.]
1689,[1106.]
1690,[1106.]
1691,[1106.]
1692,[629.]
1693,[57.]
1694,[175.]
1695,[434.]
1696,[1106.]
1697,[1106.]
1698,[188.]
1699,[1106.]
1700,[1106.]
1701,[1106.]
1702,[253.]
1703,[1106.]
1704,[1106.]
1705,[481.]
1706,[1106.]
1707,[1106.]
1708,[1106.]
1709,[255.]
1710,[1106.]
1711,[1106.]
1712,[1106.]
1713,[1106.]
1714,[409.]
1715,[340.]
1716,[441.]
1717,[1106.]
1718,[1106.]
1719,[391.]
1720,[357.]
1721,[384.]
1722,[1106.]
1723,[1106.]
1724,[1106.]
1725,[130.]
1726,[212.]
1727,[1106.]
1728,[1106.]
1729,[1106.]
1730,[1106.]
1731,[1106.]
1732,[251.]
1733,[124.]
1734,[295.]
1735,[1106.]
1736,[181.]
1737,[127.]
1738,[1106.]
1739,[1106.]
1740,[1106.]
1741,[1106.]
1742,[267.]
1743,[394.]
1744,[423.]
1745,[295.]
1746,[214.]
1747,[1106.]
1748,[1106.]
1749,[228.]
1750,[1106.]
1751,[1106.]
1752,[1106.]
1753,[162.]
1754,[1106.]
