Episodio,Puntaje
1041,[2561.]
1042,[2547.]
1043,[1700.]
1044,[2574.]
1045,[987.]
1046,[307.]
1047,[2556.]
1048,[982.]
1049,[2570.]
1050,[2606.]
1051,[2572.]
1052,[2540.]
1053,[418.]
1054,[2592.]
1055,[2540.]
1056,[2592.]
1057,[2598.]
1058,[2561.]
1059,[2570.]
1060,[1650.]
1061,[2540.]
1062,[2600.]
1063,[2540.]
1064,[2503.]
1065,[2569.]
1066,[2600.]
1067,[2557.]
1068,[2609.]
1069,[2570.]
1070,[2618.]
1071,[2530.]
1072,[2104.]
1073,[2565.]
1074,[2561.]
1075,[1224.]
1076,[2579.]
1077,[2350.]
1078,[2624.]
1079,[2540.]
1080,[307.]
1081,[2562.]
1082,[2556.]
1083,[2560.]
1084,[2558.]
1085,[2572.]
1086,[982.]
1087,[2624.]
1088,[2540.]
1089,[2574.]
1090,[2565.]
1091,[2457.]
1092,[1443.]
1093,[2558.]
1094,[2549.]
1095,[2564.]
1096,[2568.]
1097,[1006.]
1098,[2563.]
1099,[2507.]
1100,[2615.]
1101,[2566.]
1102,[1006.]
1103,[2573.]
1104,[2563.]
1105,[2588.]
1106,[2560.]
1107,[982.]
1108,[1006.]
1109,[2612.]
1110,[2597.]
1111,[2126.]
1112,[2554.]
1113,[2561.]
1114,[2550.]
1115,[2542.]
1116,[2589.]
1117,[2550.]
1118,[1331.]
1119,[2554.]
1120,[2551.]
1121,[2613.]
1122,[2584.]
1123,[2621.]
1124,[2504.]
1125,[2346.]
1126,[2104.]
1127,[2068.]
1128,[1829.]
1129,[2560.]
1130,[2550.]
1131,[2608.]
1132,[418.]
1133,[2569.]
1134,[2540.]
1135,[2551.]
1136,[2598.]
1137,[2575.]
1138,[2562.]
1139,[2569.]
1140,[2518.]
1141,[2557.]
1142,[2588.]
1143,[2551.]
1144,[2576.]
1145,[2484.]
1146,[2549.]
1147,[2565.]
1148,[2540.]
1149,[2544.]
1150,[982.]
1151,[1006.]
1152,[2562.]
1153,[2478.]
1154,[2514.]
1155,[2517.]
1156,[2570.]
1157,[2591.]
1158,[2583.]
1159,[2586.]
1160,[2540.]
1161,[2540.]
1162,[2575.]
1163,[2606.]
1164,[2594.]
1165,[2587.]
1166,[2536.]
1167,[1006.]
1168,[2230.]
1169,[1961.]
1170,[2554.]
1171,[1032.]
1172,[2572.]
1173,[2599.]
1174,[2510.]
1175,[2579.]
1176,[2598.]
1177,[2618.]
1178,[2563.]
1179,[2535.]
1180,[2596.]
1181,[1006.]
1182,[2580.]
1183,[2470.]
1184,[2507.]
1185,[2524.]
1186,[2493.]
1187,[2622.]
1188,[2540.]
1189,[2561.]
1190,[2561.]
1191,[2481.]
1192,[2616.]
1193,[2560.]
1194,[2586.]
1195,[2140.]
1196,[2494.]
1197,[2534.]
1198,[2581.]
1199,[2554.]
1200,[2554.]
1201,[2501.]
1202,[2584.]
1203,[2582.]
1204,[2538.]
1205,[2557.]
1206,[2586.]
1207,[2549.]
1208,[2493.]
1209,[2569.]
1210,[2569.]
1211,[2600.]
1212,[2602.]
1213,[2574.]
1214,[2565.]
1215,[2560.]
1216,[2384.]
1217,[2577.]
1218,[2614.]
1219,[2097.]
1220,[982.]
1221,[307.]
1222,[387.]
1223,[2540.]
1224,[2582.]
1225,[2559.]
1226,[2263.]
1227,[1888.]
1228,[2067.]
1229,[2103.]
1230,[1006.]
1231,[2595.]
1232,[2536.]
1233,[2572.]
1234,[2561.]
1235,[2587.]
1236,[2554.]
1237,[2534.]
1238,[2538.]
1239,[2569.]
1240,[2387.]
1241,[2499.]
1242,[2616.]
1243,[2498.]
1244,[2561.]
1245,[2547.]
1246,[2553.]
1247,[982.]
1248,[2604.]
1249,[2618.]
1250,[2540.]
1251,[2540.]
1252,[2619.]
1253,[2565.]
1254,[2598.]
1255,[2563.]
1256,[2563.]
