Episodio,Puntaje
1272,[2442.]
1273,[2098.]
1274,[2013.]
1275,[2434.]
1276,[1053.]
1277,[2210.]
1278,[1372.]
1279,[2346.]
1280,[514.]
1281,[2462.]
1282,[2225.]
1283,[1578.]
1284,[2308.]
1285,[2421.]
1286,[2493.]
1287,[1399.]
1288,[2428.]
1289,[1187.]
1290,[2443.]
1291,[2106.]
1292,[2385.]
1293,[1054.]
1294,[2295.]
1295,[387.]
1296,[1119.]
1297,[2379.]
1298,[2389.]
1299,[1796.]
1300,[2428.]
1301,[2106.]
1302,[2384.]
1303,[2394.]
1304,[2398.]
1305,[2404.]
1306,[1562.]
1307,[2193.]
1308,[1129.]
1309,[1848.]
1310,[1999.]
1311,[1226.]
1312,[2309.]
1313,[1583.]
1314,[2106.]
1315,[2310.]
1316,[2389.]
1317,[1086.]
1318,[939.]
1319,[1014.]
1320,[1368.]
1321,[2390.]
1322,[2416.]
1323,[2001.]
1324,[2395.]
1325,[1583.]
1326,[2401.]
1327,[499.]
1328,[2422.]
1329,[2389.]
1330,[2390.]
1331,[2315.]
1332,[2530.]
1333,[2481.]
1334,[2416.]
1335,[1804.]
1336,[2404.]
1337,[2399.]
1338,[2447.]
1339,[2566.]
1340,[2423.]
1341,[2098.]
1342,[2194.]
1343,[2506.]
1344,[2390.]
1345,[2098.]
1346,[2269.]
1347,[2446.]
1348,[2379.]
1349,[2140.]
1350,[1578.]
1351,[1092.]
1352,[2446.]
1353,[2131.]
1354,[2428.]
1355,[2390.]
1356,[2437.]
1357,[2446.]
1358,[1770.]
1359,[1591.]
1360,[2365.]
1361,[2371.]
1362,[2270.]
1363,[2399.]
1364,[2399.]
1365,[2207.]
1366,[2101.]
1367,[2398.]
1368,[1890.]
1369,[2210.]
1370,[2437.]
1371,[2368.]
1372,[2380.]
1373,[2053.]
1374,[2437.]
1375,[2416.]
1376,[2299.]
1377,[2207.]
1378,[2442.]
1379,[2389.]
1380,[829.]
1381,[2193.]
1382,[931.]
1383,[2429.]
1384,[2437.]
1385,[2421.]
1386,[2437.]
1387,[1803.]
1388,[1353.]
1389,[2510.]
1390,[1583.]
1391,[1047.]
1392,[1980.]
1393,[2407.]
1394,[2437.]
1395,[1622.]
1396,[2390.]
1397,[2098.]
1398,[2283.]
1399,[2401.]
1400,[403.]
1401,[2232.]
1402,[2421.]
1403,[2437.]
1404,[2428.]
1405,[1236.]
1406,[2378.]
1407,[1770.]
1408,[2404.]
1409,[2373.]
1410,[1578.]
1411,[1583.]
1412,[1782.]
1413,[307.]
1414,[2390.]
1415,[1583.]
1416,[307.]
1417,[2416.]
1418,[1583.]
1419,[2451.]
1420,[2397.]
1421,[2401.]
1422,[2390.]
1423,[1339.]
1424,[2398.]
1425,[2428.]
1426,[2427.]
